txn_id,timestamp,user_id,sender_vpa,receiver_vpa,amount,hour,device_id,city,avg_user_amount,is_new_device,is_new_city,minutes_since_last_txn,fraud_type,is_fraud
T0028786,2026-01-08 20:05:36.449320,user_0602,ashleyprice@ybl,nina01@oksbi,1842.29,14,2877f5d9-0f56-45f8-b048-faa112ae5c22,Bengaluru,1713.46,0,1,658.66,none,0
T0006930,2026-01-12 00:45:01.164434,user_0221,katherinetaylor@paytm,kelseyhunter@ibl,348.9,12,b5a6571c-4fa5-435e-90cc-460428b26b1b,Pune,380.32,0,0,1998.32,none,0
T0040884,2026-01-24 03:45:37.390790,user_0596,imcclain@ibl,sallydavenport@oksbi,1410.93,9,1fe771d6-d917-4793-a9d3-c2e6505cc686,Mumbai,1416.75,0,1,49.49,none,0
T0018887,2026-01-07 21:59:05.401902,user_0722,deckeralexander@paytm,craig30@paytm,1082.62,23,14296c07-f26b-4776-913e-4de2e0c53cb8,Bengaluru,1153.26,0,0,749.69,none,0
T0038778,2026-01-25 21:25:23.213273,user_0710,vturner@ybl,alexanderadam@ybl,871.72,14,eb6c1016-cee6-44d0-9dac-6e8345241ea6,Ahmedabad,957.3,0,0,745.24,none,0
T0051342,2026-01-29 21:00:30.910067,user_0292,sheakimberly@oksbi,michaelhorne@paytm,122.22,3,8de1596c-5a9a-406a-96f1-42a206b919aa,Mumbai,223.86,0,0,3075.92,none,0
T0042665,2026-01-22 07:02:32.463857,user_0131,jennifer58@oksbi,ecarpenter@paytm,431.85,16,1dba1267-7e1c-45a1-bef5-18a64dead645,Chennai,391.92,0,0,69.04,none,0
T0006194,2026-01-04 02:32:27.599274,user_0651,georgegina@ybl,pauljones@ybl,1338.14,16,74962764-12a4-4ef0-84bb-b7a9d98868dd,Pune,1709.3,0,0,424.06,none,0
T0010610,2026-01-05 19:37:00.899534,user_0450,megan66@paytm,rgomez@okhdfcbank,1327.24,17,9a069295-3b8d-4447-8e61-065f171b1b80,Mumbai,964.04,0,0,10.23,none,0
T0053302,2026-01-26 19:02:44.768513,user_0180,ystewart@ybl,eileenward@ybl,1186.39,10,8a4b8f7c-2147-4a15-bcce-96f6250a4578,Chennai,1040.97,0,0,82.91,none,0
T0054656,2026-02-02 06:12:30.559367,user_0092,rreed@ybl,petersonmichael@ybl,695.42,14,1b0c62eb-27c8-4c6c-9be5-a4c395af6d0c,Pune,423.55,0,0,476.34,none,0
T0009972,2026-01-06 01:48:03.668127,user_0054,brooksdanielle@oksbi,ujohnston@okhdfcbank,849.04,19,ef0a573d-53d2-456d-9040-158728e213bc,Mumbai,768.06,0,1,866.67,none,0
T0029331,2026-01-06 20:16:02.250899,user_0409,jbarker@oksbi,jennifer70@oksbi,1031.51,6,46fde062-a33d-47af-9701-410d3f4b1a70,Jaipur,944.75,0,0,129.96,none,0
T0017141,2026-01-10 20:58:28.973733,user_0259,davisdonna@okhdfcbank,hlong@oksbi,1023.92,7,97fa7f04-8363-4007-9cae-9610c72c1fe3,Chennai,924.46,0,0,48.01,none,0
T0054880,2026-01-29 15:02:47.438821,user_0466,michael66@ybl,james92@okhdfcbank,718.41,7,fbe94499-dbc0-40fd-86fb-7bf300b9d4a3,Chennai,760.07,0,0,1263.79,none,0
T0024233,2026-01-09 12:59:41.198776,user_0217,philip94@okhdfcbank,mperry@oksbi,1248.43,7,27aa7cbc-2337-4bbc-bffe-77c839feb99c,Kolkata,1008.32,0,1,1195.63,none,0
T0025165,2026-01-16 06:10:53.101651,user_0512,robertberry@okhdfcbank,shaun20@paytm,649.89,18,eec259dc-7f95-497c-a76a-a6ced50755d9,Hyderabad,1110.9,0,0,101.94,none,0
T0013253,2026-01-09 19:38:40.652729,user_0004,charlene44@ybl,matthew43@okhdfcbank,2088.92,12,23a13e20-7fd2-45ee-ac48-436668bd80d7,Bengaluru,1909.89,0,0,75.44,none,0
T0043000,2026-01-24 09:31:41.524363,user_0190,susan08@oksbi,fbrown@paytm,1157.99,9,c194f97f-00e3-4026-95b6-de85390239d9,Chennai,1511.37,0,0,838.86,none,0
T0039641,2026-01-22 17:00:08.864890,user_0501,mckeetodd@ibl,cooperpaul@ibl,469.94,11,4aea1b8f-b43c-4e0a-ba9f-c10e52daf681,Ahmedabad,483.5,0,0,666.54,none,0
T0049447,2026-01-29 03:55:02.457268,user_0048,ryan25@oksbi,frencherin@ybl,686.91,15,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,Bengaluru,609.54,0,1,305.92,none,0
T0013814,2026-01-06 20:39:01.225747,user_0647,gilbertcaldwell@okhdfcbank,tapiamichael@ybl,954.9,18,9a069295-3b8d-4447-8e61-065f171b1b80,Chennai,979.37,0,0,440.28,none,0
T0003995,2026-01-04 10:35:48.485542,user_0407,brenda63@okhdfcbank,jmaynard@ibl,3015.56,15,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Ahmedabad,2032.47,0,0,288.64,none,0
T0017300,2026-01-14 03:53:58.850611,user_0746,zmendoza@paytm,ballstephanie@ibl,441.94,16,b253d218-6c4a-47ea-8906-17f2747b6dba,Pune,750.52,0,0,279.45,none,0
T0043433,2026-02-03 19:02:46.498450,user_0287,daniellegonzales@paytm,shannon71@oksbi,982.81,17,143029a9-d88f-4c94-88b7-63d5e519dd7e,Jaipur,757.42,0,0,1491.71,none,0
T0016872,2026-01-10 22:57:04.781544,user_0200,jessicafreeman@ibl,cameron22@okhdfcbank,340.58,11,670acc5c-b321-4f21-8dd8-eb85b04d3376,Delhi,501.81,0,0,3069.71,none,0
T0028733,2026-01-12 03:54:55.028290,user_0217,philip94@okhdfcbank,xalexander@okhdfcbank,1313.54,8,27aa7cbc-2337-4bbc-bffe-77c839feb99c,Kolkata,1008.32,0,0,78.35,none,0
T0055956,2026-01-26 03:21:36.196930,user_0159,robertherrera@oksbi,taylorgriffith@ibl,272.53,17,9c7c7377-79a2-4903-bbe3-3b243eae0032,Lucknow,217.29,0,0,1321.95,none,0
T0010545,2026-01-08 15:10:44.855030,user_0315,eric11@paytm,jessicanichols@ibl,4919.91,15,f9ac5e16-9770-4f7c-bb32-dba47dfdda7f,Lucknow,1772.55,1,1,8.17,geo_jump,1
T0027063,2026-01-11 19:15:16.469867,user_0341,lewisjonathan@paytm,alan80@ybl,637.09,13,5a5226e6-9d64-4932-8066-853d6de299a1,Jaipur,499.18,0,0,183.93,none,0
T0048899,2026-01-30 17:21:45.415989,user_0533,stephanie33@paytm,odavis@okhdfcbank,204.03,14,4926ce5f-7878-4140-ac2a-4f71a77d95f1,Hyderabad,213.64,0,0,640.55,none,0
T0001822,2026-01-01 21:56:31.408943,user_0010,kenneth17@paytm,robertgreene@ybl,219.26,20,5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Lucknow,318.5,0,0,567.27,none,0
T0045133,2026-01-24 11:09:33.057681,user_0653,davislisa@okhdfcbank,matthewmejia@ybl,851.72,23,624c69b6-b244-45a7-b7e5-848131c681ec,Jaipur,724.74,0,0,473.75,none,0
T0033602,2026-01-18 10:43:18.023829,user_0089,tiffanysantiago@ibl,mmitchell@ibl,1619.23,14,5ef787b8-f2e6-495f-b32e-2016add702c9,Delhi,1207.38,0,0,596.73,none,0
T0025974,2026-01-17 08:52:25.991102,user_0588,ann30@ibl,desiree97@ybl,918.12,20,47c1c017-6045-4909-936d-47d73e0f84ce,Chennai,968.32,0,0,187.6,none,0
T0011740,2026-01-07 17:41:23.114365,user_0664,jennifer66@paytm,nicholas39@oksbi,1996.71,5,8412a335-d88c-456d-b61e-5fdb1a435206,Lucknow,1717.44,0,1,767.61,none,0
T0031816,2026-01-13 01:57:31.460749,user_0171,jacksonstephanie@oksbi,hgreen@okhdfcbank,407.63,14,f0b2a5d1-8c7e-4f42-a646-eaf9d5c0244d,Pune,444.04,0,0,386.51,none,0
T0025382,2026-01-20 18:36:07.618226,user_0248,stacey37@paytm,cwilliams@okhdfcbank,1324.46,18,71efe72a-ae13-491e-84fa-4c7239e7a4f1,Kolkata,1702.6,0,1,351.97,none,0
T0002375,2026-01-02 15:55:21.452580,user_0033,tthomas@okhdfcbank,krystalhenderson@paytm,1119.32,14,67ce378f-e5a4-483b-a383-889adb2c6ac8,Kolkata,1085.05,0,0,506.92,none,0
T0017916,2026-01-12 06:00:50.754467,user_0543,leescott@ybl,vjennings@paytm,254.49,9,a4b1f991-7542-4646-8d37-a539857dd3b3,Delhi,256.73,0,0,1316.94,none,0
